---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                                                                                                   ListStacks                                                                                                                                                                    |
+----------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------+
|           creationTime           |                                                                                              stackId                                                                                              |                                                stackName                                                 |
|  2024-05-13T08:02:36.537000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-application-pr-1935/2909aea0-10ff-11ef-aac1-025f6224f87f                                                                                  |  of-application-pr-1935                                                                                  |
|  2024-05-13T08:01:07.524000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-admin-pr-1935/f3fb3940-10fe-11ef-902c-0ab88452e0a9                                                                                        |  of-admin-pr-1935                                                                                        |
|  2024-05-13T07:57:27.428000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-api-pr-1935/70c808f0-10fe-11ef-bd1d-06a04ee45757                                                                                          |  of-api-pr-1935                                                                                          |
|  2024-05-13T07:53:43.795000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-fundraising-page-type-service-pr-1935/eb844820-10fd-11ef-8910-0ab9eb13e08b                                                                |  of-fundraising-page-type-service-pr-1935                                                                |
|  2024-05-13T07:53:43.763000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-brand-service-pr-1935/eb7fdb50-10fd-11ef-96f6-0275dbf70b35                                                                                |  of-brand-service-pr-1935                                                                                |
|  2024-05-13T07:53:43.755000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-image-service-pr-1935/eb8161f0-10fd-11ef-bd1d-06a04ee45757                                                                                |  of-image-service-pr-1935                                                                                |
|  2024-05-13T07:53:43.754000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-restriction-service-pr-1935/eb7f3f10-10fd-11ef-ba78-0af6c891d367                                                                          |  of-restriction-service-pr-1935                                                                          |
|  2024-05-13T07:50:40.630000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-common-pr-1935/7e5ab9a0-10fd-11ef-b3d1-02742efbbc6d                                                                                       |  of-common-pr-1935                                                                                       |
|  2024-05-03T14:56:48.295000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-application-pr-1938/5dac5bc0-095d-11ef-8b87-0259002de0ef                                                                                  |  of-application-pr-1938                                                                                  |
|  2024-05-03T14:55:26.421000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-admin2-pr-1938/2cf24c60-095d-11ef-9b19-0a78a8af5803                                                                                       |  of-admin2-pr-1938                                                                                       |
|  2024-05-03T14:54:19.106000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-admin-pr-1938/04cf2eb0-095d-11ef-ba13-0a86acbe6c3d                                                                                        |  of-admin-pr-1938                                                                                        |
|  2024-05-03T14:49:12.039000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-api-pr-1938/4db9acf0-095c-11ef-8b84-0a750207d20f                                                                                          |  of-api-pr-1938                                                                                          |
|  2024-05-03T14:45:29.294000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-restriction-service-pr-1938/c9049790-095b-11ef-a458-06523a4f6d5f                                                                          |  of-restriction-service-pr-1938                                                                          |
